sample,ECG,Filtered
590,3337.0,-1.0
591,3328.0,-1.0
592,3318.0,-1.0
593,3340.0,0.0
594,3335.0,3.0
595,3339.0,-5.0
596,3338.0,5.0
597,3337.0,-3.0
598,3284.0,-3.0
599,3335.0,-1.0
600,3334.0,-4.0
601,3327.0,-4.0
602,3334.0,2.0
603,3335.0,0.0
604,3337.0,1.0
605,3339.0,2.0
606,3337.0,2.0
607,3319.0,1.0
608,3326.0,1.0
609,3333.0,1.0
610,3291.0,0.0
611,3335.0,0.0
612,3333.0,0.0
613,3337.0,0.0
614,3333.0,0.0
615,3337.0,0.0
616,3329.0,1.0
617,3337.0,0.0
618,3293.0,1.0
619,3336.0,1.0
620,3333.0,1.0
621,3330.0,0.0
622,3295.0,-3.0
623,3338.0,-1.0
624,3297.0,0.0
625,3336.0,0.0
626,3315.0,-4.0
627,3301.0,-4.0
628,3332.0,0.0
629,3335.0,1.0
630,3330.0,3.0
631,3337.0,-3.0
632,3332.0,-6.0
633,3322.0,0.0
634,3339.0,2.0
635,3336.0,2.0
636,3310.0,1.0
637,3331.0,-1.0
638,3342.0,0.0
639,3331.0,2.0
640,3293.0,3.0
641,3335.0,-1.0
642,3337.0,-3.0
643,3338.0,-3.0
644,3333.0,-2.0
645,3327.0,3.0
646,3300.0,1.0
647,3337.0,-1.0
648,3318.0,0.0
649,3331.0,2.0
650,3329.0,1.0
651,3322.0,0.0
652,3326.0,-1.0
653,3335.0,-2.0
654,3325.0,4.0
655,3340.0,0.0
656,3306.0,-1.0
657,3338.0,1.0
658,3327.0,1.0
659,3330.0,2.0
660,3338.0,1.0
661,3336.0,0.0
662,3337.0,2.0
663,3347.0,2.0
664,3327.0,5.0
665,3295.0,5.0
666,3329.0,4.0
667,3295.0,2.0
668,3332.0,-4.0
669,3339.0,-3.0
670,3321.0,-2.0
671,3336.0,-1.0
672,3337.0,0.0
673,3338.0,0.0
674,3325.0,-1.0
675,3301.0,1.0
676,3335.0,0.0
677,3338.0,-2.0
678,3325.0,-4.0
679,3322.0,-3.0
680,3340.0,3.0
681,3321.0,3.0
682,3337.0,0.0
683,3335.0,0.0
684,3332.0,0.0
685,3316.0,0.0
686,3334.0,0.0
687,3298.0,0.0
688,3328.0,1.0
689,3325.0,0.0
690,3332.0,0.0
691,3335.0,0.0
692,3324.0,1.0
693,3287.0,1.0
694,3312.0,0.0
695,3332.0,-1.0
696,3335.0,-1.0
697,3312.0,-2.0
698,3339.0,-1.0
699,3331.0,0.0
700,3341.0,0.0
701,3338.0,0.0
702,3325.0,0.0
703,3341.0,0.0
704,3338.0,0.0
705,3338.0,0.0
706,3339.0,2.0
707,3336.0,2.0
708,3321.0,2.0
709,3297.0,3.0
710,3339.0,1.0
711,3325.0,-1.0
712,3331.0,-2.0
713,3332.0,-3.0
714,3302.0,-2.0
715,3331.0,3.0
716,3340.0,2.0
717,3328.0,-1.0
718,3337.0,-2.0
719,3327.0,-2.0
720,3338.0,-2.0
721,3332.0,1.0
722,3333.0,0.0
723,3329.0,0.0
724,3335.0,0.0
725,3337.0,2.0
726,3334.0,2.0
727,3333.0,2.0
728,3321.0,1.0
729,3332.0,-1.0
730,3329.0,-1.0
731,3289.0,0.0
732,3329.0,-2.0
733,3333.0,-3.0
734,3332.0,-4.0
735,3336.0,1.0
736,2638.0,4.0
737,3336.0,4.0
738,438.0,-27.0
739,-4.0,-851.0
740,-4.0,-678.0
741,0.0,-2180.0
742,-1.0,-2345.0
743,-2.0,-1754.0
744,-4.0,-2386.0
745,0.0,-2465.0
746,-3.0,-2419.0
747,-4.0,-2300.0
748,-5.0,-2212.0
749,-4.0,-2129.0
750,-2.0,-2062.0
751,-4.0,-2040.0
752,-3.0,-1952.0
753,-4.0,-1861.0
754,-4.0,-1838.0
755,-6.0,-1815.0
756,0.0,-1724.0
757,-7.0,-1702.0
758,-3.0,-1634.0
759,-2.0,-1611.0
760,-5.0,-1587.0
761,-5.0,-1564.0
762,-1.0,-1424.0
763,-7.0,-1377.0
764,-3.0,-1260.0
765,-5.0,-1143.0
766,-5.0,-1119.0
767,-4.0,-1095.0
768,-1.0,-1022.0
769,-4.0,-975.0
770,-4.0,-927.0
771,-3.0,-881.0
772,-4.0,-834.0
773,-5.0,-738.0
774,-6.0,-714.0
775,-4.0,-690.0
776,-7.0,-594.0
777,-3.0,-570.0
778,-3.0,-453.0
779,6.0,-429.0
780,-1.0,-405.0
781,-4.0,-310.0
782,-5.0,-287.0
783,-4.0,-206.0
784,-3.0,-174.0
785,-4.0,-145.0
786,-2.0,-97.0
787,-4.0,-41.0
788,-6.0,-34.0
789,-5.0,-31.0
790,-6.0,-6.0
791,-4.0,-2.0
792,-3.0,-1.0
793,-5.0,-1.0
794,-5.0,0.0
795,-4.0,0.0
796,-3.0,0.0
797,-3.0,0.0
798,-1.0,0.0
799,0.0,0.0
800,-5.0,0.0
801,-4.0,0.0
802,-1.0,0.0
803,0.0,1.0
804,0.0,0.0
805,-5.0,0.0
806,-6.0,0.0
807,-1.0,0.0
808,-1.0,0.0
809,-1.0,0.0
810,-1.0,0.0
811,-5.0,0.0
812,-2.0,0.0
