sample,raw,filtered
499,789.0,-428.0
500,744.0,-444.0
501,946.0,-295.0
502,861.0,152.0
503,496.0,937.0
504,253.0,1948.0
505,577.0,2923.0
506,1039.0,3530.0
507,777.0,1281.0
508,1261.0,-513.0
509,1746.0,-2286.0
510,1784.0,-3657.0
511,1392.0,-4391.0
512,1133.0,-4493.0
513,1252.0,-4179.0
514,1530.0,-3729.0
515,1507.0,-3348.0
516,1171.0,-3152.0
517,957.0,-3202.0
518,1179.0,-3496.0
519,1543.0,-3926.0
520,1614.0,-4287.0
521,1233.0,-4366.0
522,939.0,-4015.0
523,1078.0,-3158.0
524,1419.0,-1795.0
525,1469.0,-55.0
526,1139.0,1768.0
527,865.0,3303.0
528,1414.0,4098.0
529,1090.0,3210.0
530,794.0,2071.0
531,858.0,949.0
532,1089.0,79.0
533,1028.0,-424.0
534,639.0,-594.0
535,324.0,-554.0
536,354.0,-414.0
537,341.0,-232.0
538,-20.0,-40.0
539,-16.0,111.0
540,-23.0,180.0
541,-18.0,191.0
542,-22.0,236.0
543,-15.0,387.0
544,-29.0,636.0
545,-19.0,929.0
546,-24.0,1259.0
547,-20.0,1651.0
548,-22.0,2054.0
549,-24.0,2307.0
550,-21.0,2236.0
551,-20.0,1778.0
552,-25.0,991.0
553,-23.0,-26.0
554,-25.0,-1173.0
555,-25.0,-2301.0
556,-21.0,-3202.0
557,-22.0,-3695.0
558,-22.0,-3737.0
559,-23.0,411.0
560,-18.0,328.0
561,-20.0,280.0
562,-23.0,259.0
563,-16.0,263.0
564,-22.0,263.0
565,-28.0,258.0
566,-23.0,247.0
567,-24.0,233.0
568,-25.0,222.0
569,-23.0,215.0
570,-21.0,211.0
571,-25.0,211.0
572,-19.0,212.0
573,-16.0,214.0
574,-25.0,217.0
575,-22.0,222.0
576,-23.0,228.0
577,-20.0,234.0
578,-26.0,236.0
579,-20.0,234.0
580,-23.0,225.0
581,-24.0,209.0
582,-27.0,189.0
583,-23.0,168.0
584,-22.0,151.0
585,-22.0,140.0
586,-25.0,155.0
587,-19.0,163.0
588,-24.0,168.0
589,-16.0,169.0
590,-23.0,167.0
591,-24.0,161.0
592,-23.0,151.0
593,-18.0,139.0
594,-26.0,126.0
595,-25.0,114.0
596,-26.0,106.0
597,-24.0,100.0
598,-22.0,99.0
599,-21.0,100.0
600,-21.0,102.0
601,-27.0,105.0
602,-21.0,106.0
603,-19.0,105.0
604,-16.0,105.0
605,-20.0,105.0
606,168.0,105.0
607,599.0,103.0
608,767.0,98.0
609,1019.0,89.0
610,1470.0,78.0
611,2067.0,66.0
612,2222.0,63.0
613,2230.0,81.0
614,2223.0,120.0
615,2225.0,138.0
616,2223.0,54.0
617,2232.0,-216.0
618,2232.0,-747.0
619,2237.0,-1585.0
620,2232.0,-2714.0
621,2240.0,-3991.0
622,2231.0,-5143.0
623,2227.0,-5821.0
624,2227.0,-5710.0
625,2228.0,-4631.0
626,2231.0,-2603.0
627,2236.0,130.0
628,2235.0,3134.0
629,2236.0,5881.0
630,2233.0,7919.0
631,2233.0,8987.0
632,2235.0,6767.0
633,2234.0,5009.0
634,2229.0,3241.0
635,2237.0,1677.0
636,2233.0,431.0
637,2231.0,-447.0
638,2227.0,-955.0
639,2235.0,-1130.0
640,2232.0,-1056.0
641,2232.0,-847.0
642,2236.0,-611.0
643,2234.0,-420.0
644,2231.0,-305.0
645,2228.0,-265.0
646,2063.0,-281.0
647,390.0,-328.0
648,-22.0,-385.0
649,-23.0,-440.0
650,-24.0,-487.0
651,-22.0,-526.0
652,-23.0,-574.0
653,-25.0,-671.0
654,-24.0,-834.0
655,-21.0,-942.0
656,-25.0,-716.0
657,-25.0,132.0
658,-23.0,1701.0
659,-27.0,3782.0
660,-20.0,5868.0
661,-23.0,7272.0
662,-27.0,7344.0
663,-23.0,5728.0
664,-23.0,2552.0
665,-23.0,-1557.0
666,-28.0,-5730.0
667,-22.0,-9164.0
668,-26.0,-11330.0
669,-27.0,-12033.0
670,-20.0,-11402.0
671,-24.0,-9819.0
672,-16.0,-7742.0
673,-21.0,-5548.0
674,-15.0,-3481.0
675,-24.0,-1712.0
676,-25.0,-393.0
677,-20.0,469.0
678,-22.0,135.0
679,-25.0,-214.0
680,-24.0,-477.0
681,-21.0,-620.0
682,-18.0,-654.0
683,-22.0,-610.0
684,-29.0,-523.0
685,-18.0,-421.0
686,-25.0,-323.0
687,-17.0,-237.0
688,-20.0,-167.0
689,-23.0,-113.0
690,-23.0,-74.0
691,-20.0,-44.0
692,-21.0,-20.0
693,-17.0,3.0
694,-25.0,27.0
695,-21.0,52.0
696,-16.0,79.0
697,-16.0,106.0
698,-21.0,133.0
699,-20.0,160.0
700,-15.0,186.0
701,-21.0,212.0
702,-24.0,237.0
703,-26.0,261.0
704,-25.0,283.0
705,-22.0,301.0
706,-22.0,317.0
707,-26.0,331.0
708,-23.0,343.0
709,161.0,353.0
710,634.0,364.0
711,999.0,376.0
