sample,raw,filtered
415,-21.0,-6.0
416,-22.0,-6.0
417,-18.0,-5.0
418,-22.0,-4.0
419,-22.0,-3.0
420,-21.0,-2.0
421,-22.0,-1.0
422,-25.0,-1.0
423,101.0,-1.0
424,416.0,-2.0
425,1025.0,-3.0
426,-25.0,-4.0
427,-20.0,-4.0
428,1294.0,-5.0
429,1603.0,-5.0
430,1759.0,-6.0
431,-20.0,-11.0
432,-19.0,-14.0
433,27.0,-5.0
434,-20.0,26.0
435,-23.0,79.0
436,-20.0,149.0
437,-20.0,235.0
438,-19.0,728.0
439,-22.0,729.0
440,-25.0,603.0
441,-21.0,340.0
442,-23.0,-41.0
443,-16.0,-492.0
444,-22.0,-931.0
445,-25.0,-1274.0
446,-26.0,-1464.0
447,-27.0,-1489.0
448,-25.0,-1375.0
449,-25.0,-1174.0
450,-22.0,-941.0
451,-26.0,-715.0
452,-23.0,-514.0
453,-21.0,-337.0
454,-22.0,-180.0
455,-20.0,-36.0
456,-24.0,95.0
457,-28.0,215.0
458,-20.0,320.0
459,-23.0,401.0
460,-20.0,206.0
461,-23.0,196.0
462,-16.0,184.0
463,-25.0,173.0
464,-24.0,162.0
465,-26.0,152.0
466,-20.0,143.0
467,-26.0,132.0
468,-26.0,121.0
469,-17.0,111.0
470,-20.0,104.0
471,-21.0,98.0
472,-27.0,91.0
473,-25.0,84.0
474,111.0,78.0
475,656.0,73.0
476,1029.0,67.0
477,1185.0,60.0
478,1193.0,53.0
479,1164.0,47.0
480,1150.0,41.0
481,1148.0,35.0
482,1172.0,23.0
483,1185.0,10.0
484,497.0,10.0
485,-23.0,145.0
486,-27.0,317.0
487,-20.0,559.0
488,-23.0,843.0
489,-25.0,1126.0
490,-25.0,1358.0
491,-27.0,1489.0
492,-20.0,1482.0
493,469.0,1317.0
494,989.0,999.0
495,908.0,554.0
496,1049.0,29.0
497,1231.0,-517.0
498,1340.0,-1028.0
499,1241.0,-1448.0
500,989.0,-1741.0
501,911.0,-1886.0
502,929.0,-1880.0
503,870.0,-1735.0
504,817.0,-1469.0
505,53.0,-1109.0
506,-16.0,-680.0
507,-26.0,-208.0
508,-25.0,267.0
509,-20.0,701.0
510,-21.0,1039.0
511,-27.0,1241.0
512,-25.0,1292.0
513,-29.0,1199.0
514,-27.0,980.0
515,-20.0,659.0
516,-20.0,269.0
517,-19.0,-151.0
518,-19.0,-565.0
519,-19.0,-935.0
520,-27.0,-1231.0
521,-26.0,-1430.0
522,289.0,-1516.0
523,811.0,-1490.0
524,1119.0,-1369.0
525,1221.0,-1182.0
526,1214.0,-962.0
527,1208.0,-739.0
528,1183.0,-531.0
529,2286.0,78.0
530,2284.0,238.0
531,2285.0,442.0
532,2275.0,696.0
533,2279.0,985.0
534,2287.0,1271.0
535,2281.0,1508.0
536,2283.0,1652.0
537,2287.0,1687.0
538,2290.0,1628.0
539,2282.0,1518.0
540,2286.0,1411.0
541,2289.0,1343.0
542,2287.0,1327.0
543,2283.0,1340.0
544,2277.0,1340.0
545,2283.0,1279.0
546,2282.0,1127.0
547,2279.0,884.0
548,2279.0,577.0
549,2283.0,249.0
550,2280.0,-55.0
551,2296.0,-309.0
552,2286.0,-499.0
553,2284.0,-632.0
554,2282.0,-723.0
555,2285.0,-788.0
556,2288.0,-841.0
557,2275.0,-885.0
558,2286.0,-920.0
559,2280.0,-943.0
560,2287.0,-948.0
561,2279.0,-934.0
562,2281.0,-766.0
563,2283.0,-724.0
564,2285.0,-686.0
565,2288.0,-653.0
566,2288.0,-624.0
567,2279.0,-598.0
568,2288.0,-573.0
569,2288.0,-548.0
570,2284.0,-523.0
571,2288.0,-499.0
572,2280.0,-476.0
573,2079.0,-453.0
574,1576.0,-430.0
575,1241.0,-408.0
576,1130.0,-387.0
577,1119.0,-367.0
578,1147.0,-347.0
579,1147.0,-327.0
580,1160.0,-305.0
581,1108.0,-281.0
582,1262.0,-259.0
583,1663.0,-254.0
584,1825.0,-287.0
585,1496.0,-379.0
586,897.0,-539.0
587,425.0,-756.0
588,365.0,-1002.0
589,367.0,-1233.0
590,-16.0,-1405.0
591,-26.0,-1476.0
592,-19.0,-1419.0
593,-21.0,-1229.0
594,-20.0,-935.0
595,-20.0,-52.0
596,-16.0,33.0
597,-24.0,-32.0
598,-22.0,-232.0
599,-23.0,-514.0
600,-27.0,-805.0
601,-23.0,-1031.0
602,-24.0,662.0
603,-24.0,752.0
604,-20.0,824.0
605,-33.0,904.0
606,36.0,914.0
607,736.0,910.0
608,2158.0,896.0
609,2288.0,877.0
610,2279.0,858.0
611,2280.0,841.0
612,2286.0,825.0
613,2285.0,807.0
614,2290.0,697.0
615,2289.0,504.0
616,2287.0,323.0
617,2285.0,151.0
618,2284.0,-10.0
619,2283.0,-152.0
620,2288.0,-265.0
621,2285.0,-341.0
622,2286.0,-381.0
623,2283.0,-394.0
624,2285.0,-392.0
625,2288.0,-384.0
626,2283.0,-375.0
627,2291.0,-368.0
628,2280.0,-366.0
629,2162.0,-369.0
630,1863.0,-375.0
631,1638.0,-382.0
632,1180.0,-389.0
633,619.0,-396.0
634,401.0,-402.0
635,699.0,-408.0
636,1024.0,-410.0
637,872.0,-408.0
638,395.0,-404.0
639,683.0,-488.0
640,494.0,-618.0
641,-7.0,-836.0
642,-21.0,-1134.0
643,-25.0,-1475.0
644,-24.0,-1802.0
645,-24.0,-2060.0
646,-14.0,-2207.0
647,-29.0,-2223.0
648,-28.0,-2113.0
649,-22.0,-1909.0
650,-21.0,-1667.0
651,-20.0,-1441.0
652,-24.0,-1266.0
653,-18.0,-1151.0
654,-23.0,-1080.0
655,-25.0,-1033.0
656,-22.0,-983.0
657,-30.0,-908.0
658,-23.0,-795.0
659,-20.0,465.0
660,-20.0,495.0
661,-23.0,516.0
662,-20.0,529.0
663,-27.0,535.0
664,-26.0,536.0
665,-21.0,535.0
666,-21.0,532.0
667,-22.0,527.0
668,-16.0,524.0
669,-20.0,523.0
670,-25.0,523.0
671,-23.0,524.0
672,-21.0,523.0
673,-18.0,522.0
674,-25.0,511.0
675,-23.0,505.0
676,-29.0,500.0
677,-25.0,495.0
678,-20.0,491.0
679,-21.0,486.0
680,-19.0,481.0
681,-26.0,474.0
682,-18.0,468.0
683,-23.0,460.0
684,-18.0,452.0
685,292.0,443.0
686,963.0,433.0
687,1168.0,424.0
688,1124.0,416.0
689,1341.0,407.0
690,1857.0,399.0
691,2031.0,389.0
692,1560.0,376.0
693,931.0,358.0
694,843.0,344.0
695,1287.0,351.0
696,1649.0,404.0
697,1516.0,522.0
698,1154.0,715.0
699,1147.0,982.0
700,1520.0,1303.0
701,1865.0,1634.0
702,1789.0,1909.0
703,1454.0,2059.0
704,1429.0,2044.0
705,2041.0,1215.0
706,1679.0,854.0
707,1886.0,551.0
708,2282.0,348.0
709,2285.0,251.0
710,2286.0,234.0
711,2288.0,253.0
712,2277.0,272.0
713,2281.0,277.0
714,2286.0,268.0
715,2286.0,247.0
716,2281.0,221.0
717,2282.0,200.0
718,2281.0,194.0
719,2281.0,208.0
720,2287.0,238.0
721,2286.0,271.0
722,2283.0,295.0
723,2278.0,298.0
724,2288.0,272.0
725,2284.0,214.0
726,2284.0,128.0
727,2285.0,21.0
728,2279.0,-97.0
729,2281.0,-415.0
730,1901.0,-485.0
731,1624.0,-541.0
732,1563.0,-589.0
733,1278.0,-631.0
734,1440.0,-665.0
735,2058.0,-695.0
736,2285.0,-721.0
737,2283.0,-742.0
738,2277.0,-757.0
739,2276.0,-770.0
740,2276.0,-795.0
741,2253.0,-855.0
742,2288.0,-967.0
743,2277.0,-1129.0
744,1951.0,-1315.0
745,1677.0,-1479.0
746,1948.0,-1571.0
747,2284.0,-1551.0
748,2182.0,-1404.0
749,714.0,-1149.0
750,-23.0,-833.0
751,-24.0,-148.0
752,-28.0,-236.0
753,-27.0,-374.0
754,-21.0,-515.0
755,-23.0,-644.0
756,-20.0,-781.0
757,-22.0,-966.0
758,-25.0,-1234.0
759,-20.0,-1595.0
760,-21.0,-2024.0
761,-21.0,-690.0
762,-21.0,-548.0
763,-18.0,-413.0
764,-27.0,-279.0
765,-22.0,-142.0
766,-24.0,-13.0
767,-25.0,98.0
768,-21.0,183.0
769,-27.0,243.0
770,-26.0,284.0
771,-19.0,315.0
772,600.0,340.0
773,1932.0,360.0
774,2283.0,381.0
775,2284.0,403.0
776,2278.0,475.0
777,2284.0,485.0
778,2275.0,487.0
779,2284.0,495.0
780,2289.0,548.0
781,2288.0,695.0
782,2290.0,974.0
783,2286.0,1390.0
784,2278.0,1907.0
785,2287.0,2448.0
786,2282.0,2920.0
787,2279.0,3235.0
788,2283.0,3335.0
789,2281.0,3216.0
790,2283.0,2925.0
791,2285.0,2537.0
792,2284.0,2132.0
793,2290.0,1770.0
794,2292.0,1474.0
795,2285.0,1241.0
796,2285.0,1048.0
797,2286.0,876.0
798,2279.0,710.0
799,2284.0,545.0
800,2286.0,383.0
801,2288.0,232.0
802,2283.0,105.0
803,2288.0,9.0
804,2285.0,-53.0
805,2283.0,-89.0
806,2286.0,-111.0
807,2289.0,-127.0
808,2288.0,-141.0
809,2284.0,-246.0
810,2286.0,-261.0
811,2284.0,-276.0
812,2283.0,-291.0
813,2278.0,-305.0
814,2282.0,-316.0
815,2286.0,-326.0
816,2287.0,-337.0
817,2284.0,-348.0
818,2282.0,-358.0
819,2279.0,-366.0
820,2287.0,-374.0
821,2286.0,-382.0
822,2288.0,-390.0
823,2281.0,-397.0
824,2279.0,-402.0
825,2290.0,-405.0
826,2282.0,-408.0
827,2288.0,-411.0
828,2281.0,-412.0
829,2279.0,-411.0
830,2281.0,-409.0
